Daunting	s	Haunting - a ghost haunting your house is an incredibly intimidating and scary problem to deal with.
Dearth	s	Dead earth - a dead patch of earth has a severe scarcity and lack of crops.
Debacle	s	Da buckle - the buckle on the CEO's belt breaks during a keynote speech, causing a complete public disaster.
Debase	m	"de-" (down) + "base" = to lower the value, status, or quality of something.
Debauch	s	Da botch - you completely botched your life by engaging in extreme, corrupt partying.
Debunk	s	De-bunk - kicking your brother out of the top bunk because his claim that he called dibs is entirely false.
Decorous	s	Decorate - having excellent manners, perfectly presented like a beautifully decorated room.
Decry	s	Cry - crying out publicly against a policy you hate.
Deface	m	"de-" (down/remove) + "face" = to ruin the surface or outward appearance of something (like graffiti).
Defamatory	m	"de-" (remove) + "fame" = words specifically designed to destroy someone's fame or reputation.
Defer	n
Deferential	s	Reference - treating someone with such deep respect that you always use them as a reference.
Defile	s	File - spilling black coffee all over a clean file, completely corrupting and dirtying it.
Deft	s	Theft - a pickpocket must be incredibly quick and skillful to pull off a theft.
Defunct	m	"de-" (off) + "funct" (perform) = no longer functioning; dead or extinct.
Delegate	n
Deleterious	s	Delete - a computer virus that is so harmful it deletes all your hard drive files.
Deliberate	n
Delineate	m	"de-" (out) + "line" = to trace the exact lines or outline of a plan in detail.
Demagogue	m	"dem" (people) + "agog" (leader) = a toxic political leader who manipulates the dark emotions of the people to gain power.
Demarcation	s	The mark - setting the physical mark on the ground to define a clear boundary.
Demean	m	"de-" (down) + "mean" = to put someone down and intentionally make them feel inferior.
Demure	s	Murmur - a shy, modest girl who only speaks in a quiet murmur.
Denigrate	m	"de-" (completely) + "nigr" (black) = to heavily blacken someone's reputation with insults.
Denounce	m	"de-" (down) + "nuntiare" (speak/announce) = to publicly announce your rejection of someone.
Deplore	n
Depravity	s	Deprive - a villain completely deprived of any moral goodness.
Deprecate	s	Appreciate (the opposite) - to heavily express disapproval of something, the exact opposite of appreciating it.
Derelict	s	Dairy licked - the abandoned ice cream factory is so ruined that stray dogs have licked all the rusted dairy vats.
Deride	s	The ride - ruthlessly mocking the kid who is too scared to go on the roller coaster ride.
Derivative	n
Desecrate	m	"de-" (reverse) + "sacr" (sacred) = to deliberately ruin something holy.
Desiccated	s	Desert - completely dried out and lifeless, exactly like a desert.
Desolate	m	"de-" (completely) + "sol" (alone) = completely left alone, empty, and barren.
Despondent	s	Respond - someone so hopelessly depressed they won't even respond to your texts.
Despot	s	Death pot - a cruel, absolute dictator who throws his enemies into a boiling death pot.
Destitute	s	Deserted - someone who has been entirely deserted by wealth, leaving them in extreme poverty.
Deter	n
Devious	m	"de-" (away) + "via" (way) = wandering away from the straight, honest path to be sneaky.
Dialect	n
Diaphanous	m	"dia-" (through) + "phan" (show) = fabric so light and sheer that light shows right through it.
Didactic	s	Dictator - a teacher who constantly lectures you on morals like a strict dictator.
Diffident	m	"dis-" (not) + "fid" (trust) = lacking trust in your own abilities; highly shy and unconfident.
Diffuse	m	"dis-" (apart) + "fundere" (pour) = poured apart, spreading out thinly over a wide area.
Dilatory	s	Delay story - the lawyer told a long, pointless delay story just to waste time in court.
Diligent	n
Diminutive	m	"min" (small) = extremely or unusually small.
Dirge	s	Dirt - the slow, mournful song played while throwing dirt on a coffin.
Disaffected	m	"dis-" (not) + "affect" = no longer emotionally affected by or loyal to the leader.
Disavow	m	"dis-" (not) + "avow" (swear) = to swear you have absolutely no connection to something.
Discern	n
Disclose	m	"dis-" (un) + "close" = to un - close the vault and reveal a secret.
Discomfit	s	Discomfort - to make someone feel deeply embarrassed and in a state of discomfort.
Discordant	m	"dis-" (apart) + "cord" (heart) = hearts apart, creating harsh, clashing sounds or opinions.
Discrepancy	n
Discretion	n
Discursive	s	Cursive - a speech wandering off topic, looping all over the place just like cursive handwriting.
Disdain	s	This stain - looking with absolute snobby disgust at "this stain" on your brand new shirt.
Disgruntled	s	Grunt - an angry, dissatisfied worker walking away just grunting under his breath.
Disheartened	m	"dis-" (remove) + "heart" = having your courage or spirit entirely taken away.
Disparage	s	Spar - to verbally spar with someone just to belittle and insult their worth.
Disparate	s	Separate - two things that are so fundamentally different they must be kept totally separate.
Dispatch	n
Dispel	m	"dis-" (apart) + "pel" (drive) = to drive away a rumor or bad feeling.
Disperse	m	"dis-" (apart) + "spars" (scatter) = to scatter the crowd in different directions.
Disrepute	m	"dis-" (not) + "repute" (reputation) = held in extremely low esteem by the public.
Dissemble	s	Disassemble - to disassemble your true face and hide behind a fake, deceptive one.
Disseminate	m	"dis-" (apart) + "semin" (seed) = to scatter information widely, just like a farmer planting seeds.
Dissent	m	"dis-" (apart) + "sent" (feel) = to feel apart from the group; to officially disagree.
Dissipate	s	Sip it - to sip your drink so slowly over hours that the ice entirely melts and dissipates.
Dissonance	m	"dis-" (apart) + "son" (sound) = musical notes that clash aggressively and don't belong together.
Dissuade	m	"dis-" (against) + "suadere" (persuade) = to heavily persuade someone not to do something.
Distend	m	"dis-" (apart) + "tend" (stretch) = to stretch outwards, usually used for medical swelling.
Dither	s	Dizzy - spinning around dizzy, completely paralyzed and unable to make a decision.
Divine	s	Vine - predicting the future by reading the tangled growth of a magic vine.
Divisive	n
Divulge	s	Bulge - the secret is bulging out of your pockets until you finally crack and reveal it.
Docile	m	"doc" (teach) = easily taught and completely submissive to handling.
Dogmatic	s	Dog - a dog guarding its bone is stubbornly attached to it, just like someone stubbornly attached to their unproven opinion.
Dormant	m	"dorm" (sleep) = currently sleeping or temporarily inactive (like a volcano).
Dour	s	Sour - having a sour, gloomy, and extremely severe facial expression.
Dubious	m	"dub" (doubt) = a claim filled with hesitation and serious doubt.
Duplicity	m	"du" (two) + "plic" (fold) = being two - faced or highly deceitful.
Duress	s	Stress - being put under extreme physical stress or threats to force a confession.
Dynamic	n
Ebullient	e	From Latin ebullire (to boil over). You are so enthusiastic and joyful that your energy literally boils over the pot.
Eclectic	s	Elect - electing to take the best individual pieces from a wide variety of different styles.
Ecstatic	n
Edict	m	"e-" (out) + "dict" (speak) = an official, undeniable order spoken out by a king or authority.
Efface	m	"ex-" (out) + "face" = to completely wipe out or erase the face of a monument.
Effervescent	e	From Latin effervescere (to begin to boil). Used literally for fizzy drinks, and figuratively for bubbly, highly enthusiastic personalities.
Efficacious	s	Effective - highly successful in producing the exact desired result.
Effrontery	s	Front - having the brazen, arrogant nerve to get right up in someone's "front" (face).
Effulgent	s	Full gem - shining radiantly and brightly like a flawless, full gem.
Egregious	e	From Latin ex (out) + grege (flock). Standing out from the rest of the flock in a shockingly bad or horrific way.
Elaborate	n
Elated	n
Elegy	s	Allergy - writing a beautiful, sad poem for a friend who tragically died from a peanut allergy.
Elicit	s	Illegal - the detective trying to draw out a confession from someone who did something illegal.
Eloquent	m	"e-" (out) + "loqu" (speak) = speaking out in a beautifully fluent, persuasive manner.
Elucidate	m	"e-" (out) + "luc" (light) = to shine a spotlight on a complex topic to make it clear.
Elude	m	"e-" (out) + "ludere" (play) = to play a clever trick to escape the guards.
Emaciated	s	Mac (Macaroni) - someone who is so starving and bone-thin they desperately need a giant bowl of Mac and Cheese.
Embellish	s	Bell - decorating a plain, boring Christmas tree by hanging shiny bells all over it.
Embezzle	s	Bedazzle - the corrupt accountant stole company funds just to bedazzle her own wardrobe.
Emend	s	Amend - to make precise corrections and improvements to a written text.
Eminent	s	Eminem - a highly respected, famous, and prominent figure in their field.
Emollient	m	"e-" (out) + "mollire" (soften) = a lotion designed to completely soften the skin.
Emote	n
Empathy	m	"em-" (in) + "path" (feeling) = physically feeling into someone else's emotions.
Empirical	s	Empire - the Roman Empire was built on practical, observable facts and engineering, not just philosophical theories.
Emulate	s	Emulator - running a video game emulator on your PC to perfectly imitate an old console.
Enamor	m	"en-" (in) + "amor" (love) = to be entirely filled with a feeling of love and fascination.
Encore	n
Encumber	s	Cucumber - trying to run a marathon while carrying a 50-pound sack of cucumbers is a massive burden.
Enervate	s	Energy out - a disease that completely drains the energy out of your body.
Enfranchise	s	Franchise - giving a citizen the keys to the "franchise," meaning granting them the legal right to vote.
Engender	m	"en-" (in) + "gen" (birth) = to give birth to a situation or a feeling of trust.
Enigmatic	s	Enigma machine - highly mysterious and impossible to crack, just like the WWII code machine.
Enmity	s	Enemy - the intense, deeply rooted hatred you feel toward a bitter enemy.
Ennui	s	Are we? - "Are we there yet?" asked the kid in the backseat, suffering from extreme, soul-crushing boredom.
Entail	n
Enthrall	e	Originally meant to put someone in "thrall" (slavery). Now it means to capture someone's attention so completely that they are a willing slave to the performance.
Ephemeral	e	From Greek ephemeros (lasting only one day). Originally used by biologists for short - lived insects like mayflies, now means anything fleeting.
Epistolary	s	Pistol - writing a highly formal series of letters to threaten a duel with a pistol.
Epitome	s	Epic tome - an epic, massive tome that serves as the perfect, flawless example of fantasy literature.
Equanimity	m	"equ" (equal) + "anim" (mind/spirit) = keeping an even, perfectly balanced mind under intense stress.
Equivocal	m	"equi" (equal) + "voc" (voice) = a politician speaking with two equal voices, making their stance completely ambiguous and unclear.
Erudite	m	"e-" (out) + "rud" (raw/rude) = trained completely out of a raw, ignorant state into profound scholarly knowledge.
Eschew	s	Ah - choo!-you sneeze, and I deliberately avoid you to escape the germs.
Esoteric	s	Isolated - knowledge that is so highly isolated that only a tiny group of experts actually understand it.
Espouse	s	Spouse - to marry yourself to a political idea or belief, defending it just like you would a spouse.
Ethereal	m	"ether" (upper air) = light, airy, and belonging entirely to the heavens rather than earth.
Etymology	n
Euphoric	m	"eu-" (good) + "pherein" (bear) = bearing a feeling of intense, overwhelmingly good happiness.
Evanescent	m	"e-" (out) + "vanescere" (vanish) = fading rapidly out of sight; vanishing like vapor.
Evince	s	Evidence - to clearly show evidence or proof of a hidden feeling.
Exacerbate	s	Extra bad - making a bad situation extra bad by interfering.
Exalt	s	Exhale - exhaling in pure awe as you praise and elevate a hero to a high rank.
Exasperate	s	Ex-aspirin - you have a splitting headache and realize you are out of aspirin, which thoroughly annoys and frustrates you.
Excavate	m	"ex-" (out) + "cav" (cave) = to hollow out a cave or systematically dig historical artifacts out of the ground.
Exculpate	m	"ex-" (out) + "culp" (blame) = to officially take the blame off someone's record.
Excursion	n
Execrable	s	Excrement - a movie so utterly foul and detestable it belongs in the sewer with the excrement.
Exhort	s	Exhaust - cheering and urging your team on so intensely from the sidelines that you exhaust yourself.
Exigent	s	Exit gent - the building is currently on fire, so it is highly urgent and demanding that the gentleman exits immediately.
Exonerate	m	"ex-" (out) + "onus" (burden) = taking the heavy burden of guilt permanently off someone's shoulders.
Exorbitant	m	"ex-" (out) + "orbit" = a price tag so insanely high it has flown completely out of orbit.
Expedient	m	"ex-" (out) + "ped" (foot) = originally meaning to free a foot from a trap; doing what is most convenient and practical to solve a problem right now.
Expiate	s	Expiration - the pirate must do good deeds to make amends for his crimes before his expiration date.
Expunge	s	Sponge - using a massive sponge to completely wipe away and erase a criminal record.
Expurgate	s	Purge - the school board deciding to purge a classic book of all its offensive content before assigning it.
Extant	s	X-tent - the ancient explorer's tent still miraculously stands; it currently exists and survived the storm.
Extol	s	Toll - paying the toll bridge operator with highly enthusiastic praise instead of actual money.
Extraneous	m	"extra" (outside) = coming from the outside and therefore entirely irrelevant to the core subject.
Extricate	s	Trick - finally figuring out the puzzle's trick to free yourself from the trap.
Exult	s	Vault-pole - vaulting high into the air out of sheer triumph and joy after winning gold.
Fabricate	n
Facile	m	"fac" (do/make) = an argument that is so easy to make that it is superficial and entirely lacks depth.
Fallacious	m	"fall" (deceive) = based on a false, highly deceitful premise.
Fastidious	s	Fast tidier - obsessing over every tiny detail; nothing sloppy gets past.
Fathom	e	Originally a nautical unit of measurement for water depth (about 6 feet). To fathom a problem is to successfully reach the very bottom of its meaning.
Fatuous	s	Tattoo us - two drunk, incredibly silly friends shouting "Tattoo us!" at 3 AM; a foolish, pointless idea.
Fecund	s	Feces - putting cow feces (manure) on the soil makes it highly fertile and incredibly productive.
Felicitous	s	Fleece - finding a warm fleece jacket in your trunk right as a blizzard hits is a highly fortunate, well-timed event.
Feral	s	Fur all - a stray animal covered in fur all over, acting completely wild and untamed.
Fervent	s	Fever - having a burning, passionate fever for a political cause.
Fetid	s	Feet - a swamp smelling as horrific as a rotting pair of unwashed feet.
Fetter	s	Feet - putting heavy iron chains on a prisoner's feet to severely restrict them.
Fickle	s	Pickle - you can't decide if you want a sweet or a sour pickle because your tastes change constantly and unpredictably.
Fidelity	m	"fid" (trust/faith) = strict faithfulness and unwavering loyalty.
Figurative	n
Flabbergasted	n
Flaccid	s	Flat - a tire that is completely flat, limp, and entirely lacking firmness.
Flagrant	s	Flag - a foul on the basketball court so obviously bad and intentional the referee throws a giant penalty flag.
Florid	m	"flor" (flower) = writing that is heavily decorated and excessively flowery.
Flout	s	Fly out - to openly mock and break the rules, then fly out of the country to avoid arrest.
Foil	s	Aluminum foil - wrapping the villain's evil plans in heavy aluminum foil to completely block and ruin them.
Forage	n
Forbearance	s	Bear - having the immense patience and self-control not to shoot the bear when it crosses your path.
Forestall	s	Before stall - placing a heavy stall in the road before the enemy arrives to entirely prevent their advance.
Forlorn	s	Torn - your heart is totally torn because you are pitifully sad, lonely, and abandoned.
Forsake	n
Fortitude	m	"fort" (strong) = immense mental strength and courage while enduring deep pain.
Fortuitous	m	"fortun" (chance) = something great happening by a lucky, happy accident rather than design.
Forum	n
Foster	n
Fractious	m	"fract" (break) = a group that is easily broken into arguments; highly irritable and unruly.
Fraught	s	Caught - a tense situation where you are constantly worried you will be caught because the room is filled with danger.
Frenetic	s	Frenzy - moving with wild, incredibly fast, frantic energy.
Frivolous	s	Free volley - playing a completely meaningless, silly free volley in tennis instead of focusing on the actual match.
Frugal	s	Fruit girl - the girl who only eats free fruit from the trees to save money because she is highly economical.
Furtive	s	Fur thief - the fur thief moves quietly and secretly through the mansion to avoid being caught.
Garish	s	Garnish - piling way too much cheap, brightly colored garnish on a plate, making the whole meal look tacky.
Garrulous	s	Gary rules - Gary never shuts up about how much he rules; an excessively talkative guy.
Genial	m	"gen" (nature/born) = having a naturally friendly, warm, and cheerful disposition.
Gluttony	n
Goad	s	Goat - poking a stubborn goat repeatedly with a sharp stick to provoke it to move.
Gourmand	s	Gourmet man - a man who loves eating rich, gourmet food in excessive amounts.
