Target ID,Target Word,Target Charge,Foil ID,Foil Word,Foil Charge,Overlap Count,Overlapping Synonyms
0ca20308-b53e-4d10-8398-c1c67a743362,Atone,positive,deee995c-dcfb-4fa6-8d3c-a1f9f17fb319,Expiate,neutral,2,make amends|redeem
c733a8c4-c2ad-47c7-a961-878e729ab4f3,Capitulate,negative,71800b51-0c7f-4eb0-b839-8fd27dd19ac9,Defer,neutral,2,submit|yield
3ecc13f5-126b-4e50-b718-1738a27b8c8f,Clandestine,neutral,aa84be76-2749-4df7-980d-60da4201c3fb,Furtive,negative,2,covert|stealthy
59bc304b-00e5-407f-9b3e-6dd6be92cbf8,Coerce,negative,b46fc65e-0c0d-4cce-8f50-67ae83f70c20,Constrain,neutral,2,compel|force
f746565d-9196-4716-a6eb-874e48531221,Compliant,neutral,d9ae42b3-7e38-4b3b-82f8-2408f677946f,Submissive,negative,2,docile|obedient
f746565d-9196-4716-a6eb-874e48531221,Compliant,neutral,7f63beeb-ce72-4132-a53b-77431fc7a686,Tractable,positive,2,docile|obedient
11de007f-625d-43e9-b039-92b3eed84b6f,Congenial,neutral,1a17c52f-716c-4fcd-9a3e-099c715229f6,Convivial,positive,2,friendly|sociable
11de007f-625d-43e9-b039-92b3eed84b6f,Congenial,neutral,780d0d7d-af20-445d-8a2f-ab293d2bc1de,Cordial,positive,2,amiable|friendly
9b29fe68-8c02-4965-886f-54a9233c5951,Corroborate,positive,b8820f68-a182-4314-a064-1b1b400c3518,Validate,neutral,2,confirm|substantiate
9678e494-071f-440e-ba9f-f8d2e748434d,Curt,negative,a7d45912-c147-487b-8d1e-14849a2ee07b,Laconic,neutral,2,blunt|terse
ba66e957-2112-4e73-8f67-efc116d66f1a,Daunting,negative,94c4b2e2-8864-4925-8903-05dac95c2c18,Redoubtable,neutral,2,formidable|intimidating
d1ae8b0a-8d47-42e6-838c-0bf675b8d627,Dirge,negative,404a84c7-9b08-4441-b6b7-34c09abbf58a,Elegy,neutral,2,lament|threnody
745bf46b-b9b5-4f86-80c2-21e181f9d4ad,Dither,negative,5aea1ad1-7d7c-4674-aa09-45ea47a8ca7c,Oscillate,neutral,2,vacillate|waver
10f0bade-9039-4bf2-ad77-de8287feeced,Docile,neutral,7f63beeb-ce72-4132-a53b-77431fc7a686,Tractable,positive,2,obedient|pliant
57f69035-f670-400b-a884-a742bbfe2c15,Effulgent,neutral,c483b896-269f-4e54-99d1-aadf5efefb54,Resplendent,positive,2,brilliant|radiant
c8832b1c-2674-449e-b0cc-4f171764beb0,Fervent,neutral,5d282f2d-80a2-4c6c-9024-780870240d17,Zealous,mixed,2,ardent|passionate
aa84be76-2749-4df7-980d-60da4201c3fb,Furtive,negative,4dd3635b-da68-4f84-ae42-3029c6cbdc3f,Surreptitious,neutral,2,clandestine|stealthy
1dd2c2ea-e597-4735-a176-5a6879514287,Lethargic,negative,dc65dc47-1bba-4557-a371-5e78e3959bdb,Somnolent,neutral,2,drowsy|sluggish
d3aca034-5621-477e-9437-37523db5c788,Obstinate,negative,456bec6c-59fc-4ba4-be13-b29201478f72,Pertinacious,neutral,2,dogged|stubborn
8a3a7037-4ff8-45c8-a814-8c37ef97f460,Obstreperous,negative,f4175c7f-091f-4424-9121-d3687876d915,Vociferous,neutral,2,boisterous|clamorous
6429d026-4120-4301-b76e-342e1a9c1ca7,Onerous,negative,7325dee1-49c0-4644-b17f-34227a5e5464,Strenuous,neutral,2,arduous|taxing
0f026d24-be85-4cd5-ba61-6c4e082faf95,Pacific,positive,38943949-7fba-4f6c-9ec1-2aa0724c2f56,Tranquil,neutral,2,peaceful|serene
81b4f793-ffb3-427e-a10d-42e1b2332ee3,Plethora,neutral,fe01345f-82bd-4400-a35b-3d617e4c52c0,Surfeit,negative,2,excess|glut
bd17af0e-4069-49d5-9a43-1f11b5aca950,Raucous,negative,f4175c7f-091f-4424-9121-d3687876d915,Vociferous,neutral,2,boisterous|clamorous
c483b896-269f-4e54-99d1-aadf5efefb54,Resplendent,positive,e5748230-d15c-40d1-94b6-152b8e797b0b,Scintillating,neutral,2,brilliant|dazzling
04c9f37b-5509-45fc-ab35-6e41acbeeaa0,Sinuous,neutral,aa8efb7f-4c91-45ac-bfc3-a660f8b97264,Tortuous,negative,2,circuitous|winding
dc65dc47-1bba-4557-a371-5e78e3959bdb,Somnolent,neutral,b95e2ba8-0827-4d2f-a651-3ce18f1dc5e1,Torpid,negative,2,lethargic|sluggish
01d2ba51-8a8f-4b47-8635-c4cd6609bf5f,Strident,negative,f4175c7f-091f-4424-9121-d3687876d915,Vociferous,neutral,2,clamorous|loud
d9ae42b3-7e38-4b3b-82f8-2408f677946f,Submissive,negative,7f63beeb-ce72-4132-a53b-77431fc7a686,Tractable,positive,2,docile|obedient
